"","V1","V2","V3","V4","V5","V6","V7","V8"
"A2ML",2,8,0,4,0,0,0,0
"AAAS",796,210,191,20,82,13,7,0
"AACS",198,82,24,6,25,5,0,0
"AADACL4",8,3,0,6,0,2,0,0
"AAGAB",2222,842,376,203,346,162,12,0
"AAMDC",214,26,42,19,11,33,5,0
"AAMP",515,295,158,31,54,60,10,0
"AANAT1",33,7,11,1,5,6,3,0
"AANAT2",24,22,18,2,5,2,0,0
"AAR2",135,106,55,51,18,44,7,0
"AARS",2723,929,498,303,381,550,71,0
"AARSD1",347,134,56,25,23,40,0,0
"AASDHPPT",154,71,30,6,29,8,0,0
"AASS",122,35,16,9,8,9,4,0
"AATF",4578,1627,877,360,607,339,84,0
"ABAT",1014,391,161,100,149,180,42,0
"ABCA1B",439,151,270,96,131,132,5,0
"ABCA4A",98,35,21,14,5,3,0,0
"ABCA5",1115,378,204,129,130,266,30,0
"ABCB3L1",19,2,0,0,1,0,0,0
"ABCB4",2,4,2,1,1,0,0,0
"ABCB6A",492,193,99,64,52,78,12,0
"ABCB8",99,28,11,27,32,24,0,0
"ABCB9",9,1,2,0,4,0,0,0
"ABCC2",14,6,6,6,1,0,0,0
"ABCC4",205,44,21,31,14,12,4,0
"ABCC5",52,12,8,5,2,5,4,0
"ABCC8",29,10,7,3,10,19,0,0
"ABCC9",85,2,4,9,4,11,0,0
"ABCD1",13,1,0,10,0,1,0,0
"ABCD3A",179,96,43,25,37,81,4,0
"ABCD3B",32,11,12,4,11,2,0,0
"ABCD4",84,46,16,1,0,5,1,0
"ABCE1",7542,2598,1331,653,1084,555,161,0
"ABCF1",10830,3577,1929,805,1341,770,212,0
"ABCF2A",17404,7015,3052,1458,2535,1331,243,0
"ABCG1",72,13,14,24,1,1,1,0
"ABCG2A",64,9,28,1,8,5,3,0
"ABCG2B",0,9,0,0,0,0,0,0
"ABCG2C",239,97,65,6,42,14,1,0
"ABCG2D",5,3,2,4,2,0,0,0
"ABCG4B",7,0,1,9,0,3,0,0
"ABCG5",3,0,0,0,0,0,0,0
"ABCG8",13,0,0,0,0,0,0,0
"ABHD11",74,40,12,1,11,4,3,0
"ABHD12",417,131,87,48,22,30,13,0
"ABHD13",246,85,61,24,18,27,4,0
"ABHD14A",650,195,117,58,71,93,13,0
"ABHD14B",119,16,54,41,29,23,0,0
"ABHD16A",350,166,74,45,45,25,0,0
"ABHD17AA",3886,1393,814,281,428,176,159,0
"ABHD17B",273,132,12,23,15,15,6,0
"ABHD17C",1873,738,321,103,263,296,42,0
"ABHD2A",446,99,69,42,97,43,11,0
"ABHD2B",3,0,0,6,9,0,0,0
"ABHD3",22,4,0,3,0,1,0,0
"ABHD4",631,220,98,41,65,51,23,0
"ABHD6B",23,0,1,18,0,0,0,0
"ABI1A",218,130,45,12,30,34,9,0
"ABI1B",1330,375,632,141,263,189,47,0
"ABI2A",2302,934,436,174,266,163,25,0
"ABI2B",3636,1423,632,266,588,413,54,0
"ABI3BPB",4,2,0,2,1,0,0,0
"ABL2",404,83,74,27,32,27,7,0
"ABLIM1A",74,37,12,16,14,14,2,0
"ABLIM1B",30,10,2,3,4,1,3,0
"ABLIM3",8,2,0,0,0,0,0,0
"ABO",48,27,7,19,15,11,0,0
"ABRAB",2405,860,469,367,332,221,25,0
"ABRACL",13478,4324,2539,989,1839,767,272,0
"ABT1",2437,636,398,153,416,228,73,0
"ACAA1",485,151,67,50,45,41,15,0
"ACAA2",8646,2784,1643,766,1301,722,179,0
"ACACA",227,115,56,29,27,42,2,0
"ACAD11",589,267,61,42,136,37,22,0
"ACAD8",709,208,177,39,79,43,33,0
"ACAD9",312,67,33,16,92,14,1,0
"ACADL",547,218,132,66,83,38,31,0
"ACADM",2605,1289,558,236,424,376,31,0
"ACADS",532,284,82,32,63,55,10,0
"ACADSB",1315,602,298,66,303,82,106,0
"ACADVL",2299,671,447,269,342,197,86,0
"ACAP1",58,27,7,46,6,42,0,0
"ACAP2",249,54,23,28,30,15,0,0
"ACAP3B",2,0,6,0,0,1,0,0
"ACAT1",782,285,136,37,89,134,11,0
"ACAT2",1168,324,206,62,163,146,18,0
"ACBD3",3321,1131,517,281,347,293,91,0
"ACBD4",45,11,16,4,0,3,0,0
"ACBD5A",48,4,2,3,0,18,0,0
"ACBD5B",5,1,3,0,0,2,0,0
"ACBD6",176,28,26,9,25,11,3,0
"ACBD7",73,23,3,13,3,14,1,0
"ACCS",148,89,32,22,24,58,0,0
"ACD",219,127,38,21,42,32,3,0
"ACE2",19,23,6,0,4,32,0,0
"ACER1",1233,389,224,1032,202,132,6,0
"ACHE",57,30,6,7,16,0,0,0
"ACKR3B",331,84,82,114,23,33,0,0
"ACLYA",1168,431,141,123,180,72,17,0
"ACMSD",335,162,65,63,61,38,3,0
"ACN9",215,42,27,18,66,17,0,0
"ACO1",207,89,66,30,20,18,11,0
"ACO2",2248,806,439,236,359,505,53,0
"ACOT11A",18,25,0,1,13,0,0,0
"ACOT11B",47,26,11,9,5,1,0,0
"ACOT13",73,14,47,8,8,1,1,0
"ACOT7",78,16,45,0,21,27,4,0
"ACOT8",34,9,0,3,1,2,0,0
"ACOT9.1",278,85,55,31,85,63,0,0
"ACOT9.2",2,1,1,0,1,1,0,0
"ACOX1",200,61,50,35,49,14,6,0
"ACOX3",52,43,15,6,0,8,0,0
"ACP1",2132,617,409,239,227,168,30,0
"ACP2",629,198,153,46,118,73,13,0
"ACP5A",15108,6134,3131,1616,2801,1791,258,0
"ACP5B",3,0,0,5,2,1,0,0
"ACP6",296,150,37,25,110,25,5,0
"ACRC",424,257,176,65,79,39,20,0
"ACSBG2",2428,811,344,865,308,212,118,0
"ACSF2",3599,1111,695,440,464,401,99,0
"ACSL1A",84,7,17,17,25,1,2,0
"ACSL1B",627,200,161,110,119,91,14,0
"ACSL3A",47,1,0,0,4,0,0,0
"ACSL3B",1054,399,193,88,147,210,24,0
"ACSL4A",1083,540,252,137,125,170,20,0
"ACSL4B",2217,823,471,148,336,394,6,0
"ACSL5",92,9,18,4,16,1,0,0
"ACSM3",258,82,54,71,40,33,3,0
"ACSS1",1005,235,146,100,161,177,40,0
"ACSS2",793,161,175,60,129,168,32,0
"ACSS2L",33,25,1,37,2,5,0,0
"ACTA1A",4,3,0,1,0,2,0,0
"ACTA1B",59,12,4,3,12,5,1,0
"ACTA2",37,0,3,17,3,1,0,0
"ACTB1",15174,5541,3106,2450,2148,2935,318,0
"ACTB2",56992,18813,12822,6448,8496,6190,1291,0
"ACTC1A",233,59,43,32,26,36,3,0
"ACTC1B",2199,709,530,272,287,469,44,0
"ACTL6A",10204,3076,1986,829,1286,853,317,0
"ACTL6B",8,4,0,0,0,0,0,0
"ACTN1",29,26,5,1,5,3,7,0
"ACTN2",70,42,15,21,42,3,5,0
"ACTN3A",44,32,23,2,9,20,0,0
"ACTN3B",90,30,2,6,1,22,0,0
"ACTN4",469,134,36,66,53,52,17,0
"ACTR1",2220,800,405,249,345,358,49,0
"ACTR10",1725,540,367,89,276,122,41,0
"ACTR2A",4112,1532,871,337,609,242,37,0
"ACTR2B",482,149,131,37,74,82,1,0
"ACTR3",354,159,55,27,62,34,8,0
"ACTR3B",1,0,8,0,0,0,0,0
"ACTR5",604,350,117,56,73,47,21,0
"ACTR6",619,195,109,66,139,43,2,0
"ACTR8",729,202,81,43,74,76,5,0
"ACVR1B",979,298,407,106,141,159,25,0
"ACVR1L",5648,2116,1302,710,960,620,140,0
"ACVR2AA",128,74,31,27,25,10,0,0
"ACVR2B",3299,1215,702,343,490,338,63,0
"ACVRL1",4,0,0,0,0,0,0,0
"ACY1",101,33,29,4,4,3,6,0
"ACY3.1",192,79,41,43,18,26,2,0
"ACY3.2",77,56,17,79,7,26,0,0
"ACYP1",5,24,0,0,0,0,0,0
"ADA",13,11,4,1,0,4,1,0
"ADAD1",500,197,98,23,40,57,12,0
"ADAL",34,18,0,0,1,5,0,0
"ADAM10A",3132,1211,589,347,496,644,87,0
"ADAM10B",167,68,36,15,38,33,0,0
"ADAM17A",725,240,116,67,134,89,2,0
"ADAM28",10,4,0,3,1,1,0,0
"ADAM8A",103,48,9,10,6,19,1,0
"ADAM9",53,21,39,2,2,0,0,0
"ADAMTS10",5,13,2,4,7,0,0,0
"ADAMTS15A",14,8,2,8,0,4,0,0
"ADAMTS3",13,15,2,6,1,2,0,0
"ADAMTS9",13,19,1,2,2,3,0,0
"ADAR",2760,1020,554,297,414,466,69,0
"ADARB1A",2109,783,409,277,271,382,23,0
"ADAT1",70,29,43,10,8,13,11,0
"ADAT2",118,39,36,0,24,5,4,0
"ADAT3",347,208,34,15,51,44,1,0
"ADCK1",71,41,6,17,9,23,0,0
"ADCK3",2221,870,409,243,203,270,40,0
"ADCK5",205,33,44,39,62,22,6,0
"ADCY1A",5,0,0,0,0,0,0,0
"ADCY2B",15,7,0,2,0,2,0,0
"ADCY3L",27,10,8,8,0,0,0,0
"ADCY5",131,59,46,28,14,20,3,0
"ADCY7",31,6,1,1,0,0,2,0
"ADCY8",53,6,0,12,5,11,0,0
"ADCYAP1A",26,8,6,0,0,4,0,0
"ADCYAP1B",140,67,6,4,50,47,0,0
"ADCYAP1R1A",1,0,0,1,0,0,0,0
"ADD1",6036,2341,1102,646,823,320,174,0
"ADD3A",2372,775,659,160,362,118,110,0
"ADD3B",4225,1208,540,324,553,228,165,0
"ADH5",1423,490,279,151,211,101,58,0
"ADH8A",56,61,12,5,7,18,0,0
"ADH8B",1971,705,455,164,263,229,40,0
"ADHFE1",969,348,197,110,134,88,26,0
"ADI1",694,201,146,46,70,51,10,0
"ADIPOQB",5,0,0,0,0,0,0,0
"ADIPOR1A",1169,349,170,77,137,91,37,0
"ADIPOR1B",2219,860,459,150,252,254,25,0
"ADIPOR2",889,308,185,500,112,137,13,0
"ADKA",3891,1724,576,222,342,330,67,0
"ADKB",10589,4203,2283,970,1282,717,274,0
"ADM2A",0,3,1,0,1,0,0,0
"ADMP",1228,1291,420,293,3966,294,100,0
"ADNP2A",433,153,68,35,58,38,28,0
"ADNP2B",1801,654,324,121,262,203,24,0
"ADNPA",4490,1455,854,328,616,526,81,0
"ADOA",612,240,133,80,51,77,14,0
"ADOB",595,233,107,34,68,43,13,0
"ADORA1",3,0,1,0,0,4,0,0
"ADORA2AA",11,15,0,0,0,0,0,0
"ADORA2AB",5,0,3,0,1,5,0,0
"ADORA2B",0,0,0,0,1,0,0,0
"ADPGK",198,121,13,5,31,44,5,0
"ADPRH",140,56,5,19,7,0,0,0
"ADPRHL1",0,4,2,0,0,1,1,0
"ADPRHL2",250,75,78,22,63,28,6,0
"ADPRM",732,206,79,156,59,22,5,0
"ADRA1BB",4,0,0,2,0,0,0,0
"ADRA2A",0,7,4,5,0,0,0,0
"ADRA2B",5,0,0,0,0,2,0,0
"ADRA2C",3,0,0,0,4,0,0,0
"ADRA2DA",1,0,0,3,2,1,0,0
"ADRB1",0,0,0,1,0,0,0,0
"ADRB2A",0,3,1,0,4,0,0,0
"ADRB2B",25,2,9,1,0,0,0,0
"ADRB3A",30,7,0,2,0,2,1,0
"ADRB3B",5,0,3,0,0,0,0,0
"ADRBK2",165,87,51,16,39,33,0,0
"ADRM1",942,364,171,124,100,222,16,0
"ADSL",2310,740,543,159,249,135,28,0
"ADSS",25,1,1,0,0,6,0,0
"ADSSL",7728,2533,1308,507,1019,756,138,0
"ADSSL1",554,237,116,69,85,53,12,0
"AEBP2",3044,1145,763,358,519,310,42,0
"AES",72,25,4,9,3,1,0,0
"AFAP1L1A",443,241,55,45,82,63,1,0
"AFAP1L1B",136,16,25,5,38,2,0,0
"AFG3L2",58,9,10,2,13,16,0,0
"AFMID",633,188,149,35,121,44,6,0
"AFTPHA",250,93,27,16,39,59,4,0
"AGA",995,335,187,91,108,85,35,0
"AGAP2",5,0,5,0,0,0,0,0
"AGBL2",1,7,11,0,1,0,0,0
"AGBL4",11,8,1,0,0,1,0,0
"AGBL5",351,118,27,29,58,54,4,0
"AGFG1A",572,219,30,27,46,16,1,0
"AGFG1B",322,84,69,26,70,34,9,0
"AGGF1",484,156,137,50,87,38,9,0
"AGK",833,299,97,70,129,93,35,0
"AGLA",83,46,59,19,20,11,2,0
"AGMAT",242,100,57,18,39,9,5,0
"AGMO",21,1,0,0,0,0,0,0
"AGO3B",332,114,77,94,54,37,7,0
"AGO4",3166,1271,680,353,491,216,65,0
"AGPAT2",316,149,110,4,34,31,8,0
"AGPAT3",1357,539,312,82,140,99,36,0
"AGPAT4",466,160,61,144,99,22,8,0
"AGPAT5",864,307,153,95,147,221,19,0
"AGPAT6",3441,999,852,312,647,341,113,0
"AGPAT9",90,47,7,0,1,15,0,0
"AGPAT9L",24,7,3,7,0,7,0,0
"AGPS",2059,741,338,158,374,102,94,0
"AGR2",5,1,0,2,0,1,2,0
"AGRP2",13,4,1,0,0,0,0,0
"AGT",3,3,0,3,0,0,0,0
"AGTPBP1",45,49,13,0,0,1,0,0
"AGTR2",7,2,1,0,8,0,0,0
"AGTRAP",57,2,2,0,6,0,0,0
"AGXT2",8,0,0,5,0,0,0,0
"AGXTA",32,8,9,2,8,6,0,0
"AGXTB",0,0,0,0,0,3,0,0
"AHCY",6190,1877,1284,492,847,747,175,0
"AHCYL1",34,4,3,0,5,0,0,0
"AHCYL2",2599,1012,514,256,237,163,59,0
"AHI1",631,183,135,66,62,25,42,0
"AHR1A",18,3,0,0,0,1,0,0
"AHR1B",26,4,11,3,1,0,0,0
"AHR2",32,28,30,4,4,7,4,0
"AHRRA",11,2,5,3,0,2,0,0
"AHRRB",6,1,0,0,0,2,0,0
"AHSA1",206,54,25,22,9,14,0,0
"AHSA1L",5155,1684,800,526,573,569,223,0
"AHSG",6,0,0,0,4,0,0,0
"AICDA",3,5,0,0,4,0,0,0
"AIDA",392,179,77,14,83,55,7,0
"AIF1L",14773,4767,3434,1508,2066,1767,285,0
"AIFM1",841,362,130,85,134,127,39,0
"AIFM4",856,240,149,60,128,89,1,0
"AIMP1",5061,1748,897,340,682,299,99,0
"AIMP2",7725,3099,1440,673,1005,397,153,0
"AIP",3862,1187,635,326,485,305,81,0
"AIRE",17,8,3,0,0,1,0,0
"AK1",45,19,1,1,0,0,0,0
"AK2",3653,1462,751,366,546,307,120,0
"AK3",1967,543,305,180,207,331,30,0
"AK4",136,33,24,14,23,27,3,0
"AK5L",8,0,0,5,0,0,0,0
"AK7A",7,0,1,1,0,0,0,0
"AK7B",28,1,0,2,0,12,0,0
"AK8",4,7,0,0,0,0,0,0
"AKAP12B",27987,7952,6912,2646,4695,3576,802,0
"AKAP17A",2193,765,401,243,291,195,51,0
"AKAP1B",5576,1790,933,443,742,661,93,0
"AKAP2",136,62,14,24,18,7,0,0
"AKAP8L",6866,2467,1478,727,998,626,247,0
"AKIRIN1",25842,8708,4500,2002,3198,1872,623,0
"AKIRIN2",6894,2828,1471,736,1191,757,156,0
"AKR1A1A",12,3,0,5,0,0,0,0
"AKR1A1B",401,190,74,76,65,46,0,0
"AKR1B1",11,3,6,0,0,4,0,0
"AKR7A3",1019,363,197,72,113,80,19,0
"AKT1",52,31,5,3,40,17,2,0
"AKT2",979,252,151,114,81,205,25,0
"AKT2L",1192,497,165,81,188,129,2,0
"AKT3A",40,32,0,7,2,2,0,0
"AKTIP",5909,1861,1131,455,926,575,93,0
"ALAD",597,149,87,34,46,43,4,0
"ALAS1",2259,763,435,431,385,288,43,0
"ALAS2",2,0,6,0,0,0,0,0
"ALCAMA",6,12,11,0,2,0,0,0
"ALCAMB",7278,2903,804,1599,1099,825,237,0
"ALDH16A1",415,155,70,27,53,33,12,0
"ALDH18A1",4996,1769,921,520,754,618,118,0
"ALDH1A2",502,6,530,29,60,68,12,0
"ALDH1A3",5,2,0,0,0,5,0,0
"ALDH1L1",581,255,103,34,73,80,11,0
"ALDH2.1",863,344,197,108,89,209,35,0
"ALDH2.2",2827,930,401,195,319,235,58,0
"ALDH3A2A",192,52,7,8,27,18,0,0
"ALDH3A2B",1,1,0,0,0,3,0,0
"ALDH3B1",2534,795,418,199,383,135,64,0
"ALDH4A1",210,85,33,7,33,22,4,0
"ALDH5A1",19,0,0,0,0,0,0,0
"ALDH6A1",1648,713,389,131,364,341,17,0
"ALDH7A1",745,295,141,41,51,54,7,0
"ALDH8A1",80,46,8,13,3,13,0,0
"ALDH9A1A.1",1919,711,515,290,371,366,34,0
"ALDH9A1A.2",1013,376,191,165,185,236,22,0
"ALDH9A1B",1877,584,217,103,183,157,14,0
"ALDOAA",15714,5709,2940,1047,2266,1499,422,0
"ALDOAB",80,22,15,11,9,24,7,0
"ALDOB",64980,23546,7913,4897,8123,3861,1318,0
"ALDOCA",30,1,2,3,1,5,0,0
"ALDOCB",29,10,1,9,6,7,0,0
"ALG1",355,249,83,21,68,64,31,0
"ALG11",374,61,101,22,35,41,10,0
"ALG12",133,25,26,21,13,7,7,0
"ALG13",172,126,58,6,36,25,2,0
"ALG14",312,224,57,50,34,7,31,0
"ALG2",443,142,127,40,80,85,2,0
"ALG3",3474,1190,682,311,461,390,103,0
"ALG5",971,324,187,128,131,243,11,0
"ALG6",1235,401,283,139,151,152,24,0
"ALG8",444,147,33,9,9,4,3,0
"ALG9",403,105,86,26,29,26,17,0
"ALKBH1",183,33,15,17,8,19,2,0
"ALKBH2",102,48,16,3,70,12,12,0
"ALKBH3",262,56,76,26,34,44,0,0
"ALKBH5",478,158,52,16,18,38,1,0
"ALKBH6",995,212,113,60,94,64,23,0
"ALKBH7",344,218,84,49,27,5,6,0
"ALLC",8,2,1,0,0,1,0,0
"ALOX12",190,58,33,48,14,26,2,0
"ALOX5A",22,0,1,1,0,1,0,0
"ALOX5AP",0,1,0,0,0,0,0,0
"ALOX5B.2",7,1,0,6,1,1,0,0
"ALOX5B.3",1341,449,195,925,138,259,8,0
"ALP3",0,0,0,1,2,0,0,0
"ALPI.1",90,34,22,19,20,21,1,0
"ALPI.2",5,4,1,2,0,0,0,0
"ALPL",172,52,13,8,3,15,9,0
"ALX1",3,4,2,0,0,0,0,0
"ALX4B",4,4,0,0,0,0,0,0
"ALYREF",8448,2849,2042,1209,1412,2347,177,0
"AMBP",7,3,1,0,1,0,0,0
"AMBRA1",483,199,63,35,45,25,9,0
"AMD1",1384,464,195,134,158,91,24,0
"AMDHD1",20,0,0,1,0,0,0,0
"AMDHD2",985,286,215,96,141,85,8,0
"AMER2",22,6,0,10,1,0,0,0
"AMFR",483,167,124,58,74,106,4,0
"AMH",4,0,0,0,0,0,0,0
"AMMECR1",4863,1609,1050,446,591,276,173,0
"AMN1",73,25,13,25,0,11,2,0
"AMOTL2A",5563,1864,1167,398,1301,519,180,0
"AMOTL2B",186,58,33,15,15,16,9,0
"AMPD1",59,19,3,15,2,1,0,0
"AMPD3B",30,17,2,15,6,11,0,0
"AMPH",38,0,3,3,2,2,0,0
"AMT",223,88,24,43,31,13,4,0
"AMY2A",4,0,1,0,0,0,0,0
"ANAPC10",7736,2688,1516,526,905,378,186,0
"ANAPC11",3092,952,516,199,330,361,47,0
"ANAPC15",648,297,88,34,73,66,22,0
"ANAPC16",6781,2474,1314,599,943,514,151,0
"ANAPC2",355,59,85,20,11,32,11,0
"ANAPC4",218,31,27,39,5,27,19,0
"ANAPC5",739,229,121,29,99,68,26,0
"ANAPC7",294,222,68,43,69,42,6,0
"AND1",44,41,1,0,0,0,0,0
"AND2",7,1,1,0,1,2,0,0
"AND3",5,3,0,0,4,0,0,0
"AND4",0,0,0,0,4,11,0,0
"ANGEL2",2714,910,385,239,341,318,38,0
"ANGPT1",7,2,0,0,0,0,0,0
"ANGPT2A",21,20,3,0,0,2,0,0
"ANGPT2B",7,2,8,0,6,9,0,0
"ANGPTL1A",11,4,0,0,0,0,0,0
"ANGPTL2A",4,0,0,0,0,0,0,0
"ANGPTL2B",47,1,0,4,0,0,0,0
"ANGPTL3",5,0,0,0,0,0,0,0
"ANGPTL4",475,45,29,8,25,16,1,0
"ANK1A",14,9,0,0,0,1,0,0
"ANK2B",9,1,0,1,5,0,0,0
"ANKAR",20,7,25,9,0,9,1,0
"ANKDD1A",700,204,141,83,116,70,21,0
"ANKEF1A",25,4,5,0,5,3,0,0
"ANKFY1",634,165,172,65,81,125,5,0
"ANKHA",437,193,136,47,18,84,6,0
"ANKHB",32,21,7,14,5,0,0,0
"ANKHD1",5429,1889,851,419,603,662,152,0
"ANKIB1A",261,118,31,18,29,23,5,0
"ANKK1",7,0,0,1,0,0,0,0
"ANKLE2",537,199,63,76,99,95,16,0
"ANKMY2A",112,30,26,10,14,34,8,0
"ANKRA2",46,7,2,3,15,6,0,0
"ANKRD10A",1893,686,389,152,255,87,25,0
"ANKRD10B",602,279,63,17,58,33,1,0
"ANKRD12",676,258,119,64,94,46,10,0
"ANKRD13A",1526,633,180,174,243,71,31,0
"ANKRD13B",0,1,0,0,0,0,0,0
"ANKRD13C",849,308,86,61,140,100,8,0
"ANKRD16",160,67,16,29,65,20,13,0
"ANKRD1B",0,1,0,0,0,0,0,0
"ANKRD22",487,222,88,14,114,113,0,0
"ANKRD29",19,8,0,9,0,0,0,0
"ANKRD31",198,99,44,23,36,15,2,0
"ANKRD34BB",1,9,0,1,8,12,0,0
"ANKRD37",417,109,86,27,65,22,8,0
"ANKRD39",8,2,0,0,12,0,0,0
"ANKRD45",14,0,0,0,0,1,0,0
"ANKRD46B",61,6,2,0,0,0,0,0
"ANKRD49",242,96,29,3,16,30,0,0
"ANKRD52A",170,59,66,28,33,6,0,0
"ANKRD54",809,204,77,30,51,51,3,0
"ANKRD6B",45,23,5,5,2,1,4,0
"ANKRD9",1,0,0,0,0,2,0,0
"ANKS1B",29,17,2,22,8,0,0,0
"ANKS4B",94,33,7,16,7,20,0,0
"ANLN",2406,683,509,211,385,422,49,0
"ANO1",156,55,24,48,27,12,0,0
"ANO10A",961,338,150,132,118,145,20,0
"ANO10B",26,15,2,8,2,4,0,0
"ANO2",2,2,2,0,0,0,0,0
"ANO5B",65,34,22,3,25,37,0,0
"ANO9A",899,291,130,99,110,134,28,0
"ANP32A",24935,9172,3694,2025,3955,1978,610,0
"ANP32B",47292,16255,7466,4186,5647,4498,1045,0
"ANP32E",54929,17316,9360,4127,7521,5299,1400,0
"ANPEPA",4,6,0,1,4,0,0,0
"ANPEPB",3,10,1,1,1,3,0,0
"ANTXR2A",42,0,4,2,0,0,0,0
"ANTXR2B",12,15,2,0,0,1,0,0
"ANXA11A",1717,681,335,117,182,154,23,0
"ANXA11B",425,158,160,26,61,81,12,0
"ANXA13",55,12,20,7,8,18,0,0
"ANXA13L",249,97,85,29,14,19,0,0
"ANXA1A",437,229,147,89,59,117,1,0
"ANXA1B",61,2,2,2,14,3,0,0
"ANXA1C",54,5,15,63,9,2,0,0
"ANXA2A",5,1,0,3,0,0,0,0
"ANXA2B",53,17,8,24,14,12,0,0
"ANXA3B",1636,506,444,102,239,102,17,0
"ANXA4",190,62,8,5,2,16,0,0
"ANXA5A",16,2,0,0,13,4,0,0
"ANXA5B",3572,1472,639,399,558,469,92,0
"ANXA6",71,17,41,16,2,6,0,0
"AOC1",7,0,0,0,0,2,0,0
"AOC2",735,316,230,190,111,93,25,0
"AOX1",60,44,17,18,8,1,3,0
"AOX3",6,10,5,5,0,7,0,0
"AP1B1",658,231,131,130,104,60,36,0
"AP1G1",806,269,200,99,95,136,14,0
"AP1G2",399,116,56,44,81,50,6,0
"AP1M2",2617,1212,543,333,272,262,76,0
"AP1M3",759,228,113,97,84,60,5,0
"AP1S1",6604,2575,1312,711,1062,480,148,0
"AP1S2",3392,1287,767,250,458,289,45,0
"AP1S3A",72,22,11,19,25,7,0,0
"AP1S3B",687,248,222,44,167,42,7,0
"AP2B1",1677,562,289,178,191,278,16,0
"AP2M1A",3112,1116,806,230,457,225,75,0
"AP2M1B",2167,876,435,199,236,233,27,0
"AP2S1",1794,622,259,162,288,229,45,0
"AP3D1",967,317,230,100,155,122,13,0
"AP3M1",1339,383,166,42,116,66,11,0
"AP3M2",119,24,22,13,21,9,2,0
"AP3S2",299,157,72,38,25,33,17,0
"AP4B1",59,11,1,0,2,0,0,0
"AP4M1",173,91,53,16,21,21,0,0
"AP4S1",272,84,90,14,86,1,18,0
"AP5M1",197,96,49,5,14,27,0,0
"APAF1",244,189,111,45,52,41,0,0
"APBB1IP",447,194,85,88,64,52,10,0
"APC",2092,737,500,173,364,303,30,0
"APEH",789,341,166,76,90,134,25,0
"APEX1",4924,1581,937,432,867,494,91,0
"APEX2",276,50,14,0,52,36,6,0
"APH1B",7306,2776,1445,501,1096,765,109,0
"API5",12435,3974,2440,1198,1481,1676,306,0
"APIP",1626,508,275,149,88,81,42,0
"APITD1",1944,677,358,105,250,126,61,0
"APLN",21,8,0,0,0,6,0,0
"APLNRA",854,209,592,429,111,143,20,0
"APLNRB",2906,199,3200,155,303,496,57,0
"APLP2",3540,1381,677,381,476,407,136,0
"APMAP",1997,867,444,227,383,232,39,0
"APOA1A",38,10,9,0,45,28,3,0
"APOA1B",29,3,0,0,0,4,4,0
"APOA1BP",1160,607,199,87,188,171,28,0
"APOA2",12,2,4,10,0,3,0,0
"APOA4A",12,2,0,0,0,0,0,0
"APOA4B.1",12,25,12,1,0,2,0,0
"APOA4B.2",6,3,8,0,1,12,0,0
"APOBB.1",43,20,4,6,4,0,0,0
"APOBEC2A",0,2,0,0,0,0,0,0
"APOC1L",17185,2168,4801,636,433,881,197,0
"APOD",10,1,1,0,0,0,0,0
"APOEA",11,0,0,2,0,9,0,0
"APOEB",9998,2592,2067,913,679,1800,186,0
"APOER2",50,5,6,0,5,0,0,0
"APOL1",7,3,3,2,0,0,0,0
"APOM",9,18,1,1,1,5,3,0
"APOOA",451,103,174,32,32,37,35,0
"APOOB",16,25,0,1,3,0,0,0
"APOPT1",833,384,160,108,142,100,14,0
"APPA",199,104,73,14,12,23,4,0
"APPB",121,8,39,1,46,21,0,0
"APPBP2",1090,339,231,63,105,172,27,0
"APPL1",1745,607,220,120,285,131,20,0
"APPL2",231,56,25,25,7,10,6,0
"APRT",440,219,92,71,77,43,5,0
"APTX",12,0,0,0,0,3,0,0
"AQP10A",12,1,0,4,0,0,0,0
"AQP10B",73,38,18,12,10,9,0,0
"AQP12",1,0,3,5,0,0,0,0
"AQP1A.1",6,1,0,0,0,0,0,0
"AQP1A.2",2,0,0,0,0,0,0,0
"AQP3A",50,16,3,23,2,8,3,0
"AQP4",14,13,4,16,0,0,0,0
"AQP7",94,14,12,0,0,3,0,0
"AQP8A.1",10,0,12,0,2,0,0,0
"AQP8B",7,0,6,1,0,1,0,0
"AQP9A",25,0,0,1,1,0,0,0
"AQP9B",12,2,0,0,0,1,0,0
"AQR",1205,383,161,134,104,76,4,0
"AR",91,36,11,3,8,5,9,0
"ARAF",642,156,125,67,68,82,15,0
"ARCN1A",4521,1648,719,274,493,469,42,0
"ARCN1B",1649,627,291,128,192,297,42,0
"ARF1",9469,3164,2140,831,1288,1012,256,0
"ARF1L",17586,6319,2949,1392,2313,1518,326,0
"ARF2",14858,5774,2860,1488,2002,1264,303,0
"ARF3A",11,10,3,3,3,0,0,0
"ARF3B",14,18,3,5,2,6,1,0
"ARF4A",995,272,148,65,55,132,6,0
"ARF4B",2,0,1,2,0,1,0,0
"ARF5",19601,6620,3948,1664,2483,1675,546,0
"ARF6A",583,227,94,49,80,70,23,0
"ARF6B",2157,854,302,203,364,271,20,0
"ARFGAP1",2328,941,425,311,279,261,26,0
"ARFGAP2",5293,2064,1092,533,719,326,135,0
"ARFGAP3",5442,2198,913,393,610,495,130,0
"ARFIP1",368,145,63,60,86,97,24,0
"ARFIP2A",384,175,59,29,111,64,11,0
"ARFIP2B",198,52,97,20,32,14,0,0
"ARFRP1",696,215,140,69,98,100,36,0
